	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
lqskt2	120	20.29	0.371	18.93	21.19
lqskt3	120	21.35	0.618	19.98	22.72
lpskm1	11	7.160	0.262	6.757	7.529
lpskm2	11	6.920	0.269	6.436	7.193
lpspm1	11	7.155	0.319	6.600	7.576
lpspm2	11	6.956	0.254	6.544	7.303
lpskt1a	11	7.231	0.182	6.898	7.425
lpskt1b	11	6.895	0.212	6.472	7.119
lpskt2	11	6.642	0.177	6.254	6.777
lpskt3	11	6.350	0.276	5.832	6.625
lplskm1	11	-0.000940	0.137	-0.179	0.251
lplskm2	11	0.0916	0.0876	-0.123	0.175
lplspm1	11	-0.0209	0.124	-0.175	0.144
lplspm2	11	0.105	0.160	-0.128	0.448
lplskt1a	11	0.0863	0.110	-0.0708	0.279
lplskt1b	11	0.0992	0.0674	-0.0121	0.182
lplskt2	11	0.350	0.155	0.125	0.577
lplskt3	11	0.316	0.137	0.0953	0.514
lrskm1	120	29.82	0.380	28.74	30.79
lrskm2	120	28.11	0.640	26.40	29.31
lrspm1	120	26.68	1.357	18.40	28.04
lrspm2	120	25.68	0.635	23.96	26.86
lrskt1a	120	26.59	0.652	23.82	27.99
lrskt1b	120	27.31	0.389	25.99	28.20
lrskt2	120	25.46	0.348	24.25	26.56
lrskt3	120	25.94	0.723	24.43	27.49
ltskm1	120	6.443	0.347	5.927	7.004
ltskm2	120	6.035	0.274	5.652	6.506
ltspm1	120	6.496	0.369	5.940	7.084
ltspm2	120	5.999	0.350	5.501	6.565
ltskt1a	120	5.902	0.171	5.617	6.133
ltskt1b	120	5.647	0.185	5.323	5.889
ltskt2	120	5.163	0.162	4.868	5.366
ltskt3	120	4.606	0.124	4.382	4.771
lhskm1	120	7.533	0.354	6.951	8.057
lhskm2	120	7.188	0.286	6.726	7.562
lhspm1	120	7.558	0.379	6.966	8.119
lhspm2	120	7.197	0.367	6.535	7.626
lhskt1a	120	7.380	0.243	6.931	7.724
lhskt1b	120	7.054	0.231	6.627	7.385
lhskt2	120	6.567	0.184	6.232	6.839
lhskt3	120	6.234	0.220	5.799	6.583
lqskm	120	23.65	0.329	22.69	24.33
lqskt	120	22.58	0.365	21.43	23.55
lqspm	120	20.83	0.545	18.20	22.01
lpskm	11	7.108	0.245	6.706	7.424
lpskt	11	6.804	0.166	6.452	6.936
lpspm	11	7.099	0.284	6.581	7.443
lgni	120	16.14	0.180	15.79	16.45
lpop	120	19.40	0.0266	19.35	19.44
					
